Jahr,motor_fuels_MtCO2,thermal_fuels_MtCO2,total_MtCO2
2018,15.975638897371743,15.806892641456988,31.78253153882873
2019,15.91577134341753,15.720338240073499,31.636109583491027
2020,14.618504915114588,14.630412934082575,29.248917849197163
2021,14.795015876505701,16.00937753960243,30.80439341610813
2022,14.630982738283533,13.29898309561237,27.929965833895903
2023,14.651139023553073,12.582785229063498,27.23392425261657
2024,14.346213259318075,12.263786225822328,26.609999485140403
