geo,siec,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
LT,C0000X0350-0370,9092.044,10166.622,4591.378,4109.911,3363.289,2595.733,2407.322,1900.256,1646.147,1336.217,937.157,841.256,1441.938,1855.997,1797.536,1951.222,2709.788,2586.336,2203.278,1683.563,2116.668,2447.067,2327.95,2640.785,2278.707,1864.206,1853.063,1898.121,2010.97,1969.737,1565.296,1862.104,1836.25,1155.671,1019.283
LU,C0000X0350-0370,12913.972,12154.111,11368.417,11713.611,10103.972,5687.861,5325.139,3370.722,1104.222,1117.167,1276.248,1373.3,856.566,658.093,924.585,902.469,1076.891,911.215,871.27,778.142,762.646,687.658,637.605,611.301,605.78,572.367,592.313,547.956,485.669,532.157,440.263,457.816,472.229,264.919,229.81
LV,C0000X0350-0370,7337.644,6314.217,5278.008,4794.028,3433.111,2050.8,1948.028,1637.389,1234.786,1084.0,847.414,1084.581,880.783,780.267,765.858,926.092,991.483,1209.667,1217.108,984.042,1238.642,1275.058,1058.044,824.504,684.59,537.975,468.843,469.683,526.065,456.838,267.09,199.636,130.575,130.214,95.553
ME,C0000X0350-0370,,,,,,,,,,,,,,,,3332.481,3709.558,2923.991,4380.581,2399.051,4881.3,4935.025,4431.033,4277.533,4170.083,4400.333,3585.479,3652.897,4144.938,4284.588,4453.669,3907.912,4150.95,4455.223,
MK,C0000X0350-0370,15423.052,15469.478,15381.333,15430.108,16076.364,16574.58,16035.608,14997.046,19413.521,17023.317,15565.191,17129.815,15014.196,17045.44,16277.824,17039.761,16494.306,17084.699,17223.556,15565.269,15175.399,16977.246,16254.774,13525.605,12601.983,11028.432,10237.376,11308.397,9772.063,12078.463,8838.337,7536.659,9731.314,9462.729,
NL,C0000X0350-0370,101915.361,93236.472,93148.833,93492.361,101983.167,103864.155,100385.959,97737.974,99486.271,86816.79,90377.118,96225.055,96717.043,99862.455,98577.203,94133.461,91685.236,97805.847,92735.996,86781.549,87704.351,86519.719,94802.002,94484.145,104748.989,128963.936,119510.096,107144.557,96091.794,74707.481,47785.078,65091.112,63982.625,43797.973,47850.24
NO,C0000X0350-0370,10034.278,9123.5,8936.389,9883.444,11480.639,11904.389,11684.139,11970.167,12458.0,12352.083,12223.167,10981.556,9456.611,9172.278,10783.861,9023.75,8297.139,9360.583,9994.056,6526.889,8875.306,9841.056,9519.139,9015.361,9885.778,9547.028,8811.306,9858.806,9574.084,9317.566,9579.947,9770.541,9414.148,8596.389,8228.813
PL,C0000X0350-0370,917194.495,903321.611,876458.341,864739.947,800760.42,817854.25,839805.842,818812.333,737639.379,708101.207,654561.277,647698.043,638503.586,653525.646,630751.591,635655.765,665554.874,648766.148,637170.565,595137.454,642234.396,635450.684,584544.204,618605.988,573043.206,562598.507,576113.505,577683.39,572778.42,509869.725,475838.038,533979.883,490153.472,395861.441,372247.241
PT,C0000X0350-0370,32065.021,33793.618,34336.703,36761.317,38696.299,41884.722,39876.051,41040.784,36133.029,44062.437,44255.106,37123.515,40418.98,38152.566,39228.287,38949.662,38484.687,33576.263,29374.551,33275.24,19278.166,25683.515,34126.501,30821.371,31172.993,37893.829,33104.183,37531.736,31356.869,14515.93,6579.493,2274.801,79.041,60.594,74.579
RO,C0000X0350-0370,147739.609,118967.319,124607.602,117850.427,120978.463,125535.647,124976.311,112876.968,93855.279,79658.544,86844.814,88579.915,102004.441,108951.959,107506.184,101805.525,110247.414,117365.409,111152.63,87451.866,80807.479,94117.445,87922.978,66387.617,66611.066,68526.655,61382.356,62670.185,58696.066,56910.63,40494.786,47038.455,40860.775,30125.266,25907.455
