country,status,forest_type,region,mgmt_type,mgmt_strategy,species group,age_class,volume,stem_biomass,bark_biomass,branches_biomass,foliage_biomass,foliage/stem ratio,total_agb,bcef
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_5,176.8,67.23725043,0.153884044,0.318397681,0.101214204,0%,67.81074636,0.38
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_6,232.5,86.67964818,0.150803691,0.318614537,0.097098253,0%,87.24616466,0.38
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_7,278.9,102.6139722,0.147674803,0.315537216,0.094043321,0%,103.1712275,0.37
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_8,315.3,114.9780321,0.145005679,0.311748653,0.091818575,0%,115.526605,0.37
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_9,342.9,124.2833854,0.142897924,0.308281683,0.090213325,0%,124.8247783,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_10,363.3,131.1261213,0.141306328,0.305456157,0.08906626,0%,131.66195,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_11,378,136.0395575,0.140145702,0.303302731,0.088258637,0%,136.5712646,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_12,388.6,139.5739501,0.139302948,0.301695868,0.087685516,0%,140.1026344,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_13,396.1,142.0704639,0.138704127,0.300533863,0.087284491,0%,142.5969864,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_14,401.4,143.832595,0.138279834,0.299700944,0.087003275,0%,144.3575791,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_15,405.1,145.0617601,0.137983123,0.299113946,0.086808002,0%,145.5856652,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_16,407.7,145.9250098,0.137774389,0.298698828,0.086671291,0%,146.4481543,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_17,409.6,146.5555934,0.137621737,0.298394127,0.086571649,0%,147.0781809,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_18,410.8,146.9537472,0.137525275,0.298201108,0.086508831,0%,147.4759824,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_19,411.7,147.2523072,0.137452905,0.298056055,0.086461774,0%,147.7742779,0.36
AT,ForAWS,AA,AT33,HS,E,con,AgeCL_20,412.4,147.4844878,0.137396603,0.297943065,0.086425209,0%,148.0062527,0.36
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_1,17.9,8.038545598,0.142479641,0.227172804,0.124108461,2%,8.532306504,0.48
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_2,35.8,15.28821312,0.149413046,0.259962426,0.118336581,1%,15.81592517,0.44
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_3,117.3,45.95782714,0.155600358,0.309942247,0.106511883,0%,46.52988163,0.40
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_4,231.7,86.40301018,0.150854047,0.318645918,0.097153488,0%,86.96966363,0.38
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_5,353.5,127.8425051,0.142073974,0.306838693,0.089613355,0%,128.3810311,0.36
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_6,464.9,164.8199439,0.133148848,0.289101708,0.083762385,0%,165.3259568,0.36
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_7,557.7,195.1252781,0.125624379,0.272298674,0.07938859,0%,195.6025897,0.35
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_8,630.7,218.7046345,0.11978965,0.258607744,0.076196057,0%,219.159228,0.35
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_9,685.8,236.3699826,0.115472053,0.248229208,0.073909711,0%,236.8075936,0.35
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_10,726.5,249.3520986,0.112340809,0.240605777,0.072282309,0%,249.7773275,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_11,756,258.7286125,0.110104939,0.235123144,0.071133185,0%,259.1449738,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_12,777.1,265.4188675,0.108523951,0.231230038,0.070326242,0%,265.8289477,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_13,792.1,270.1669388,0.107409529,0.228478778,0.069759941,0%,270.572587,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_14,802.7,273.5183016,0.106626845,0.226543378,0.06936336,0%,273.9208352,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_15,810.2,275.8876064,0.106075508,0.225178612,0.069084537,0%,276.2879451,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_16,815.4,277.5293893,0.105694446,0.22423469,0.068892074,0%,277.9282105,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_17,819.1,278.697118,0.105423906,0.22356423,0.068755552,0%,279.0948617,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_18,821.7,279.5174549,0.105234097,0.22309369,0.068659828,0%,279.9144425,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_19,823.5,280.0852701,0.105102835,0.22276822,0.068593658,0%,280.4817348,0.34
AT,ForAWS,AA,AT34,HP,E,con,AgeCL_20,824.7,280.4637635,0.105015394,0.222551373,0.06854959,0%,280.8598799,0.34
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_1,16.6,10.46492494,0.165469473,0.250443531,0.051679802,0%,10.93251775,0.66
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_2,33.1,19.85848332,0.162793383,0.271587876,0.051946353,0%,20.34481093,0.61
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_3,84.7,47.50252007,0.155934132,0.298505336,0.048739409,0%,48.00569895,0.57
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_4,145.2,78.34304491,0.148803598,0.309882518,0.043594208,0%,78.84532523,0.54
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_5,202.8,106.8287923,0.142484239,0.313703599,0.038744228,0%,107.3237244,0.53
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_6,251.8,130.596305,0.137380801,0.314199622,0.034890264,0%,131.0827757,0.52
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_7,290.8,149.2730352,0.133474413,0.313437857,0.032039395,0%,149.7519869,0.51
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_8,320.4,163.3270888,0.130594399,0.312356965,0.030007901,0%,163.8000481,0.51
AT,ForAWS,FS,AT11,HP,E,broad,AgeCL_9,342.4,173.7119217,0.1284989,0.311327022,0.028571365,0%,174.180319,0.51
