country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,AgeCL_1,AgeCL_2,AgeCL_3,AgeCL_4,AgeCL_5,AgeCL_6,AgeCL_7,AgeCL_8,AgeCL_9,AgeCL_10,AgeCL_11,AgeCL_12,AgeCL_13,AgeCL_14,AgeCL_15,AgeCL_16,AgeCL_17,AgeCL_18,AgeCL_19,AgeCL_20
AT,ForAWS,LD,AT32,HP,E,con,0.5,2.5,4.6,6.1,7,7.3,7.2,6.8,6.2,5.5,4.9,4.3,3.7,3.1,2.7,2.3,-,-,-,-
AT,ForAWS,LD,AT32,HS,E,con,0.5,2.5,4.6,6.1,7,7.3,7.2,6.8,6.2,5.5,4.9,4.3,3.7,3.1,2.7,2.3,-,-,-,-
AT,ForAWS,LD,AT33,HP,E,con,3.6,5,5.4,5.4,5.2,5,4.7,4.4,4,3.7,3.4,3.2,2.9,2.6,2.4,2.2,-,-,-,-
AT,ForAWS,LD,AT33,HS,E,con,3.6,5,5.4,5.4,5.2,5,4.7,4.4,4,3.7,3.4,3.2,2.9,2.6,2.4,2.2,-,-,-,-
AT,ForAWS,OC,AT12,HP,E,con,2,7.6,12.4,15.5,16.9,17.2,16.6,15.5,14.1,12.6,11.2,9.8,8.4,7.3,6.2,5.3,-,-,-,-
AT,ForAWS,OC,AT31,HP,E,con,2,7.6,12.4,15.5,16.9,17.2,16.6,15.5,14.1,12.6,11.2,9.8,8.4,7.3,6.2,5.3,-,-,-,-
AT,ForAWS,OH,AT11,C,E,broad,1.1,0.6,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
AT,ForAWS,OH,AT11,HP,E,broad,1.2,3.6,5.2,6.2,6.6,6.7,6.4,6.1,5.6,5.1,4.6,4.1,3.6,3.2,2.8,2.4,-,-,-,-
AT,ForAWS,OH,AT12,C,E,broad,5.7,6.5,6.1,5.4,4.7,4,3.4,2.9,2.4,2.1,0,0,0,0,0,0,-,-,-,-
AT,ForAWS,OH,AT12,HP,E,broad,0.7,3.7,7.1,9.3,10.1,9.9,9.2,8.1,6.9,5.7,4.7,3.8,3.1,2.4,1.9,1.5,-,-,-,-
AT,ForAWS,OH,AT12,HS,E,broad,0.7,3.7,7.1,9.3,10.1,9.9,9.2,8.1,6.9,5.7,4.7,3.8,3.1,2.4,1.9,1.5,-,-,-,-
AT,ForAWS,OH,AT13,HP,E,broad,0.7,3.6,6.8,9.2,10.4,10.8,10.4,9.7,8.7,7.7,6.7,5.7,4.8,4,3.4,2.8,-,-,-,-
AT,ForAWS,OH,AT21,C,E,broad,2.9,5.6,6.4,6.4,5.9,5.3,4.6,3.9,3.3,2.8,0,0,0,0,0,0,-,-,-,-
AT,ForAWS,OH,AT21,HP,E,broad,0.3,2.7,6,8.7,10.1,10.4,9.8,8.8,7.6,6.3,5.2,4.2,3.4,2.7,2.1,1.7,-,-,-,-
AT,ForAWS,OH,AT22,C,E,broad,2.9,5.6,6.4,6.4,5.9,5.3,4.6,3.9,3.3,2.8,0,0,0,0,0,0,-,-,-,-
AT,ForAWS,OH,AT22,HP,E,broad,1.9,3.3,3.7,3.7,3.6,3.3,3,2.7,2.4,2.1,1.8,1.6,1.4,1.2,1,0.9,-,-,-,-
AT,ForAWS,OH,AT22,HS,E,broad,1.9,3.3,3.7,3.7,3.6,3.3,3,2.7,2.4,2.1,1.8,1.6,1.4,1.2,1,0.9,-,-,-,-
AT,ForAWS,OH,AT31,C,E,broad,29.7,26.5,11.4,4.3,1.5,0.5,0.2,0.1,0,0,0,0,0,0,0,0,-,-,-,-
AT,ForAWS,OH,AT31,HP,E,broad,0.4,4.9,12,15.6,15,12.3,9.2,6.6,4.5,3,2,1.3,0.9,0.6,0.4,0.2,-,-,-,-
AT,ForAWS,OH,AT31,HS,E,broad,0.4,4.9,12,15.6,15,12.3,9.2,6.6,4.5,3,2,1.3,0.9,0.6,0.4,0.2,-,-,-,-
AT,ForAWS,OH,AT32,C,E,broad,29.7,26.5,11.4,4.3,1.5,0.5,0.2,0.1,0,0,0,0,0,0,0,0,-,-,-,-
AT,ForAWS,OH,AT32,HP,E,broad,0.7,4.3,8.3,10.9,11.8,11.4,10.4,9,7.6,6.2,5,4,3.2,2.5,2,1.5,-,-,-,-
AT,ForAWS,OH,AT32,HS,E,broad,0.7,4.3,8.3,10.9,11.8,11.4,10.4,9,7.6,6.2,5,4,3.2,2.5,2,1.5,-,-,-,-
AT,ForAWS,OH,AT33,HP,E,broad,0.3,2.3,5,6.5,6.4,5.6,4.5,3.4,2.5,1.8,1.3,0.9,0.6,0.4,0.3,0.2,-,-,-,-
AT,ForAWS,OH,AT33,HS,E,broad,0.3,2.3,5,6.5,6.4,5.6,4.5,3.4,2.5,1.8,1.3,0.9,0.6,0.4,0.3,0.2,-,-,-,-
AT,ForAWS,OH,AT34,HP,E,broad,4.2,9,9.8,8.8,7.2,5.7,4.3,3.2,2.4,1.7,1.3,0.9,0.7,0.5,0.3,0.3,-,-,-,-
AT,ForAWS,OS,AT11,HP,E,broad,6.3,15,18,17.7,16,13.7,11.3,9.1,7.3,5.8,4.5,3.5,2.7,2.1,1.6,1.2,-,-,-,-
AT,ForAWS,OS,AT12,HP,E,broad,0.9,4.8,9.6,13.1,15,15.5,14.9,13.8,12.3,10.7,9.2,7.7,6.5,5.4,4.4,3.6,-,-,-,-
AT,ForAWS,OS,AT21,HP,E,broad,0.6,2.5,4.4,5.9,6.7,7,6.9,6.6,6.1,5.5,4.9,4.3,3.8,3.3,2.8,2.4,-,-,-,-
AT,ForAWS,OS,AT21,HS,E,broad,0.6,2.5,4.4,5.9,6.7,7,6.9,6.6,6.1,5.5,4.9,4.3,3.8,3.3,2.8,2.4,-,-,-,-
AT,ForAWS,OS,AT22,HP,E,broad,0.4,1.5,2.5,3.3,3.8,4.1,4.2,4.1,4,3.8,3.5,3.2,3,2.7,2.4,2.2,-,-,-,-
AT,ForAWS,OS,AT22,HS,E,broad,0.4,1.5,2.5,3.3,3.8,4.1,4.2,4.1,4,3.8,3.5,3.2,3,2.7,2.4,2.2,-,-,-,-
AT,ForAWS,OS,AT31,HP,E,broad,0.4,3.9,9.3,13.4,15,14.6,13.1,11,8.9,7.1,5.5,4.2,3.2,2.4,1.8,1.3,-,-,-,-
AT,ForAWS,OS,AT32,HP,E,broad,1.2,3.6,5.2,6.1,6.4,6.3,5.9,5.4,4.9,4.3,3.8,3.3,2.9,2.5,2.1,1.8,-,-,-,-
AT,ForAWS,OS,AT33,HP,E,broad,4.4,9.9,10.5,9.1,7.1,5.3,3.8,2.7,1.9,1.3,0.9,0.6,0.4,0.3,0.2,0.1,-,-,-,-
AT,ForAWS,OS,AT33,HS,E,broad,4.4,9.9,10.5,9.1,7.1,5.3,3.8,2.7,1.9,1.3,0.9,0.6,0.4,0.3,0.2,0.1,-,-,-,-
AT,ForAWS,OS,AT34,HP,E,broad,1.7,7.5,12.7,15.6,16.4,15.7,14.2,12.4,10.5,8.8,7.2,5.8,4.7,3.8,3,2.4,-,-,-,-
AT,ForAWS,PA,AT11,HP,E,con,1.4,8.3,15.5,19,19.1,17.1,14.4,11.5,8.9,6.8,5.1,3.8,2.8,2.1,1.5,1.1,-,-,-,-
