country,status,forest_type,region,mgmt_type,mgmt_strategy,con_broad,Avg stock,Net stock change,,
IT,?,OB,Pu,H,U,broad,181.8,2.7,,
IT,?,OB,Sa,H,U,broad,25.9,0.9,,
IT,?,OB,Si,H,U,broad,50.9,1.5,,
IT,?,OB,Tn,H,U,broad,160.8,3.4,,
IT,?,OB,To,H,U,broad,209.2,6.7,,
IT,?,OB,Um,H,U,broad,153.7,3.5,,
IT,?,OB,Va,H,U,broad,152.1,3.4,,
IT,?,OB,Ve,H,U,broad,31.9,1,,
IT,?,OC,AA,H,U,con,162.4,3.3,,
IT,?,OC,Ba,H,U,con,162.4,3.3,,
IT,?,OC,Cal,H,U,con,90.3,5.8,,
IT,?,OC,ER,H,U,con,138.3,3.3,,
IT,?,OC,FVG,H,U,con,162.4,3.3,,
IT,?,OC,La,H,U,con,110.4,3,,
IT,?,OC,Lo,H,U,con,411.7,4.9,,
IT,?,OC,Ma,H,U,con,37.8,3.3,,
IT,?,OC,Pi,H,U,con,232.4,4.5,,
IT,?,OC,Pu,H,U,con,252.5,3.7,,
IT,?,OC,Sa,H,U,con,162.4,3.3,,
IT,?,OC,Si,H,U,con,71.4,1.6,,
IT,?,OC,To,H,U,con,153.7,1.9,,
IT,?,OC,Um,H,U,con,125,0.6,,
IT,?,OE,Ba,H,U,broad,49.4,1.8,,
IT,?,OE,Cal,H,U,broad,58.6,2.2,,
IT,?,OE,La,H,U,broad,49.4,1.8,,
IT,?,OE,Pu,H,U,broad,22.1,0.8,,
IT,?,OE,Sa,H,U,broad,49,1.9,,
IT,?,OE,Si,H,U,broad,67.7,2.1,,
IT,?,OE,To,H,U,broad,49.4,1.8,,
IT,?,Oca,AA,H,U,broad,83.4,2,,
IT,?,Oca,Ab,H,U,broad,20.3,0.7,,
IT,?,Oca,Ba,H,U,broad,74.3,1.2,,
IT,?,Oca,Cal,H,U,broad,60.7,1,,
IT,?,Oca,Cam,H,U,broad,83.4,2,,
IT,?,Oca,ER,H,U,broad,80.1,3.8,,
IT,?,Oca,FVG,H,U,broad,83.4,2,,
IT,?,Oca,La,H,U,broad,86,1.2,,
IT,?,Oca,Li,H,U,broad,70.4,1.9,,
IT,?,Oca,Lo,H,U,broad,2.1,0.1,,
IT,?,Oca,Ma,H,U,broad,83.4,2,,
IT,?,Oca,Mo,H,U,broad,83.4,2,,
IT,?,Oca,Pi,H,U,broad,31.3,1.1,,
IT,?,Oca,Pu,H,U,broad,118.3,1.9,,
IT,?,Oca,Si,H,U,broad,83.4,2,,
IT,?,Oca,Tn,H,U,broad,67.4,2,,
IT,?,Oca,To,H,U,broad,42.8,2.6,,
IT,?,Oca,Um,H,U,broad,83.4,2,,
IT,?,Oca,Ve,H,U,broad,346.8,6.7,,
IT,?,PA,AA,H,U,con,215.7,3.1,,
IT,?,PA,ER,H,U,con,267,4.1,,
IT,?,PA,FVG,H,U,con,320.6,6.1,,
IT,?,PA,Li,H,U,con,178.9,3.6,,
IT,?,PA,Lo,H,U,con,271.5,4.2,,
IT,?,PA,Pi,H,U,con,335.5,3.6,,
IT,?,PA,Tn,H,U,con,347,5.5,,
IT,?,PA,Va,H,U,con,185.5,2.5,,
IT,?,PA,Ve,H,U,con,281.4,4.2,,
IT,?,PM,Ab,H,U,con,222.4,7.3,,
IT,?,PM,Ba,H,U,con,3.1,0.1,,
IT,?,PM,Cal,H,U,con,96,1.8,,
IT,?,PM,Cam,H,U,con,119.8,3.5,,
IT,?,PM,ER,H,U,con,85.2,1.2,,
IT,?,PM,FVG,H,U,con,94.8,2.2,,
IT,?,PM,La,H,U,con,152.7,3.6,,
IT,?,PM,Li,H,U,con,208.7,3.5,,
IT,?,PM,Ma,H,U,con,94.8,2.2,,
IT,?,PM,Pi,H,U,con,40.2,1.1,,
IT,?,PM,Pu,H,U,con,55.2,1,,
IT,?,PM,Sa,H,U,con,11,0.4,,
IT,?,PM,Si,H,U,con,38.9,0.9,,
IT,?,PM,To,H,U,con,114.3,1.9,,
IT,?,PM,Um,H,U,con,84.5,1.8,,
IT,?,PN,Ab,H,U,con,17.8,1.6,,
IT,?,PN,Cal,H,U,con,200.1,3.1,,
IT,?,PN,Cam,H,U,con,154.1,4.6,,
IT,?,PN,ER,H,U,con,216.7,4.7,,
IT,?,PN,FVG,H,U,con,122.6,1.9,,
IT,?,PN,La,H,U,con,227.3,2.2,,
IT,?,PN,Li,H,U,con,198.3,3.1,,
IT,?,PN,Lo,H,U,con,140.3,2.3,,
IT,?,PN,Ma,H,U,con,50.8,0.9,,
IT,?,PN,Pi,H,U,con,59.8,1.2,,
IT,?,PN,Pu,H,U,con,45.7,1.5,,
IT,?,PN,Sa,H,U,con,21.7,2.8,,
IT,?,PN,Si,H,U,con,126.6,2.4,,
IT,?,PN,Tn,H,U,con,189.4,3.2,,
IT,?,PN,To,H,U,con,131.2,7.2,,
IT,?,PN,Um,H,U,con,126.8,2.8,,
IT,?,PN,Ve,H,U,con,126.8,2.8,,
IT,?,PS,AA,H,U,con,200.9,2.5,,
IT,?,PS,ER,H,U,con,95.3,1.5,,
IT,?,PS,FVG,H,U,con,918.1,4.8,,
IT,?,PS,Li,H,U,con,113.5,1.9,,
IT,?,PS,Lo,H,U,con,79.9,1.1,,
IT,?,PS,Pi,H,U,con,129.7,1.4,,
IT,?,PS,Tn,H,U,con,128,1.4,,
IT,?,PS,Va,H,U,con,230.6,2.2,,
IT,?,PS,Ve,H,U,con,179.6,3,,
IT,?,QC,Ab,H,U,broad,162.9,2.4,,
IT,?,QC,Ba,H,U,broad,80.5,2,,
IT,?,QC,Cal,H,U,broad,146.6,3,,
IT,?,QC,Cam,H,U,broad,118,2.9,,
IT,?,QC,ER,H,U,broad,167.6,2.9,,
IT,?,QC,La,H,U,broad,184.7,3.5,,
IT,?,QC,Li,H,U,broad,229.9,4.5,,
IT,?,QC,Lo,H,U,broad,167.6,2.9,,
IT,?,QC,Ma,H,U,broad,486,3.7,,
IT,?,QC,Mo,H,U,broad,162.1,2.9,,
IT,?,QC,Pi,H,U,broad,48.3,1.3,,
