country,nuts2,mai_co2_mean,mai_co2_min,mai_co2_max,n_forest_types,rotation_age_mean,mai_vol_mean
AT,AT11,7.051118669690098,2.5945740740740737,13.562214285714285,7,43.57142857142857,7.161418264275406
AT,AT12,5.750053913987247,2.6445833333333333,12.35025,10,45.666666666666664,6.254453250453251
AT,AT13,8.156423611111112,5.976055555555556,10.336791666666667,2,45.0,6.92
AT,AT21,6.778851221783913,3.0572948717948716,11.115499999999997,8,47.30769230769231,7.134240118855503
AT,AT22,7.097867107583775,1.5939861111111109,13.562214285714285,9,61.666666666666664,7.3588032708032705
AT,AT31,7.202046151498075,3.049138888888889,13.562214285714285,9,45.0,7.535814100429485
AT,AT32,6.6831737281237285,3.280500000000001,9.96111111111111,6,48.0,6.969135087135088
AT,AT33,5.286745968152218,2.3727777777777783,10.344059523809523,8,60.625,5.507681207681208
AT,AT34,5.947745842781558,3.667500000000001,8.516444444444446,5,49.285714285714285,6.150488559059988
BE,BE20,6.8706031179138325,4.428482142857143,9.3225,7,33.57142857142857,6.537886621315193
BE,BE30,6.8706031179138325,4.428482142857143,9.3225,7,33.57142857142857,6.537886621315193
BG,NUTS0,6.356433981481481,4.2283333333333335,8.482558333333332,10,30.0,5.559135353535353
CZ,CZ01,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
CZ,CZ02,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
CZ,CZ03,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
CZ,CZ04,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
CZ,CZ05,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
CZ,CZ06,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
CZ,CZ07,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
CZ,CZ08,5.213384523809523,4.127946428571428,6.102708333333333,4,47.5,4.359825396825396
DE,DE1,6.822511893315018,4.276708333333334,11.757166666666665,8,48.75,6.2541758241758245
DE,DE2,7.221343067002442,4.244625,11.970933333333333,8,33.75,6.685863858363858
DE,DE3,6.805253125,5.043866666666666,9.424800000000001,8,25.0,6.331
DE,DE5,6.738162400793652,5.401183333333334,10.023200000000001,8,30.0,6.414293650793651
DE,DE7,7.304665178571428,4.462791666666666,12.047475,8,30.0,6.94787012987013
DE,DE8,7.271821726190476,4.433916666666666,10.658999999999999,8,26.25,6.880785714285714
DE,DEA,7.038603174603175,4.20304761904762,11.227608333333334,8,30.0,6.522396825396825
DE,DEB,6.414591071428571,3.6639166666666667,10.682375,8,26.25,6.038928571428571
DE,DEC,7.322253125,4.738708333333332,11.893933333333333,8,25.0,6.837
DE,DED,8.763749988553114,3.8603653846153847,23.186559523809525,8,32.5,8.745791208791209
DE,DEE,6.418892311507936,3.878875,9.448694444444445,8,30.0,6.10484126984127
DE,DEF,7.196555208333333,4.764375,10.930149999999998,8,25.0,6.836
DE,DEG,6.765160416666666,3.724875,9.457525,8,25.0,6.3165000000000004
DK,DK01,5.757665438397581,4.085714285714285,7.410842592592592,7,39.285714285714285,5.39827664399093
DK,DK02,5.833451530612244,3.1271428571428572,9.853555555555554,7,39.285714285714285,5.298956916099773
DK,DK03,5.113703987150415,2.0241309523809523,9.493203703703701,7,39.285714285714285,4.518185941043084
DK,DK04,4.812765022675737,3.3000000000000003,7.263157407407407,7,39.285714285714285,4.379229024943311
DK,DK05,3.898438869992441,2.0509761904761903,5.447619047619048,7,39.285714285714285,3.6867573696145124
EE,NUTS0,4.934152267573696,3.5160277777777775,7.163474999999999,7,30.714285714285715,4.430503401360545
FI,FI1A,2.467911111111111,1.9523166666666667,3.4906666666666664,3,25.0,2.0306666666666664
FI,Other administrative regions,4.044852777777778,3.3907500000000006,4.786375,3,28.333333333333332,3.614666666666667
FR,FR10,3.901961904761905,3.2515476190476194,4.7333,4,27.5,2.995142857142857
FR,FRB0,4.245207738095238,3.265428571428571,6.516399999999999,8,26.25,3.576071428571429
FR,FRC1,4.306886309523809,2.740833333333333,8.692488095238094,8,28.75,3.647642857142857
FR,FRC2,4.5530375,3.3128333333333333,6.133050000000001,8,26.25,3.8435
FR,FRD1,4.210708333333333,3.667125,4.751266666666666,3,25.0,3.14
FR,FRD2,4.282391666666667,3.8923500000000004,4.480666666666667,4,25.0,3.096
FR,FRE1,4.974566666666666,4.705799999999999,5.243333333333333,2,25.0,3.856
FR,FRE2,4.200273611111111,3.3605,5.066966666666667,6,26.666666666666668,3.1946666666666665
FR,FRF1,5.375294047619047,4.635714285714285,6.506499999999999,6,26.666666666666668,4.743047619047619
FR,FRF2,4.025053401360544,3.1245499999999997,4.9472499999999995,7,26.428571428571427,3.2517551020408164
FR,FRF3,4.037232804232804,3.1301547619047625,5.0435,9,27.22222222222222,3.4064761904761904
FR,FRG0,4.310368333333334,2.9802666666666666,5.482399999999999,5,25.0,3.4728000000000003
FR,FRH0,4.785656944444444,3.4880999999999993,6.1423999999999985,6,25.0,4.056
FR,FRI1,3.5283162037037035,2.5953888888888885,4.923966666666666,6,28.333333333333332,2.7097777777777776
FR,FRI2,5.187300992063492,3.9501000000000004,7.680422619047619,6,26.666666666666668,4.5870476190476195
FR,FRI3,3.381063888888889,2.1784583333333334,4.406508333333333,6,28.333333333333332,2.6428148148148147
FR,FRJ1,2.9220888888888887,1.3591111111111112,4.504499999999999,8,28.75,2.6073333333333335
FR,FRJ2,3.8133095238095236,1.8415833333333331,8.04820238095238,11,29.545454545454547,3.3142972582972585
FR,FRK1,4.979375529100529,2.6012380952380947,8.883089285714284,9,28.333333333333332,4.4700952380952375
FR,FRK2,4.42244184303351,1.4112592592592592,11.14077380952381,12,29.166666666666668,3.9919947089947088
FR,FRL0,2.1164916666666667,1.161875,2.979533333333333,5,31.0,1.7091428571428573
FR,FRM0,3.9223249999999994,2.4603333333333337,5.384316666666665,2,25.0,3.7079999999999997
HR,NUTS0,4.663731481481482,2.523888888888889,5.2965,6,50.0,3.3756084656084653
HU,NUTS0,5.45850119047619,4.8355999999999995,6.586249999999999,7,25.0,4.785142857142858
IE,NUTS0,7.108701256613757,3.980166666666667,10.905277777777778,6,33.333333333333336,6.653111111111111
IT,ITC1,6.224910204936675,2.529083333333333,11.665993589743586,17,37.35294117647059,5.384865905336493
IT,ITC2,5.273583333333333,1.395625,9.151541666666667,2,35.0,5.546666666666667
IT,ITC3,7.449990702947845,2.3260416666666663,17.18350595238095,14,27.857142857142858,6.322013605442177
IT,ITC4,8.040714329805995,3.1732250000000004,18.53261666666667,12,27.5,7.349470899470899
IT,ITF1,7.986402893094559,1.2327333333333332,40.9634107142857,15,39.0,6.064537891737891
IT,ITF2,8.61270462962963,1.0681916666666667,43.459075,9,27.22222222222222,6.376888888888889
IT,ITF3,12.564537271062271,3.1313333333333326,83.13322863247862,11,43.18181818181818,8.85840293040293
IT,ITF4,4.704172067901235,3.3109999999999995,6.8891574074074065,6,28.333333333333332,4.363185185185185
IT,ITF5,11.112491229141229,2.1600740740740743,70.895,13,28.846153846153847,8.213577533577533
IT,ITF6,8.049625978835978,3.9654999999999996,14.395699999999998,15,28.333333333333332,7.066848677248677
IT,ITG1,4.159673765432099,2.007866666666667,8.443874999999998,12,27.5,3.256010582010582
IT,ITG2,2.825571406525573,1.0554761904761905,4.951571428571428,12,28.333333333333332,2.234814814814815
IT,ITH1,8.077723412698413,0.2890555555555555,17.6253,10,29.0,7.076939682539683
IT,ITH2,9.379386623677249,4.055537037037037,15.580400000000001,8,28.75,7.871373015873016
IT,ITH3,10.050450414462082,3.4842499999999994,44.16499999999999,15,39.0,8.524156613756613
IT,ITH4,11.990251016047443,3.473066666666667,32.653076923076924,14,39.285714285714285,9.895906855049713
IT,ITH5,5.610596424937496,2.45245,10.845450000000001,14,40.0,5.129918018489447
IT,ITI1,8.850400381562881,2.6244166666666664,17.615054487179485,18,37.22222222222222,7.950786324786325
IT,ITI2,5.443276957671958,2.199816666666666,14.3198,10,28.0,4.21015873015873
IT,ITI3,2.0582947916666665,0.14987499999999998,4.059916666666666,8,27.5,1.9085
IT,ITI4,6.188250569800569,2.8682499999999997,13.841391666666667,13,28.076923076923077,5.494744810744811
LT,NUTS0,5.243126355820106,3.805388888888888,5.896,8,32.5,4.834539682539683
LU,LU00,4.472679193800027,1.1168055555555554,7.867961538461536,6,65.0,4.736339512339512
LV,NUTS0,4.496082549857549,3.1048557692307686,5.7493333333333325,8,47.5,4.395770396270396
NL,NL00,5.031728724053723,3.1724,6.888749999999999,13,28.076923076923077,4.460952380952381
PL,BT,6.182296279761904,4.5545238095238085,7.5625,8,32.5,5.777785714285714
PL,CP,5.148540178571428,2.8998749999999998,7.222874999999998,8,47.5,4.789025974025974
PL,MP,5.331618154761904,3.5378095238095235,8.1796,8,32.5,4.854857142857142
PL,MS,5.643171874999999,3.0026333333333333,10.146674999999998,8,31.25,5.1255
PL,MZ,4.8802433035714285,3.5098511904761898,6.562285714285714,8,33.75,4.617071428571428
PL,SD,5.940763888888888,3.857333333333333,8.941777777777776,8,32.5,5.472166666666666
PL,SL,5.912128422619048,4.601142857142857,8.47275,8,31.25,5.481
PL,WP,5.506382291666666,3.6574999999999998,8.107000000000001,8,30.0,5.016285714285714
PT,PT11,2.242895299145299,2.242895299145299,2.242895299145299,2,195.0,1.9574358974358974
PT,PT15,2.242895299145299,2.242895299145299,2.242895299145299,2,195.0,1.9574358974358974
PT,PT16,2.242895299145299,2.242895299145299,2.242895299145299,2,195.0,1.9574358974358974
PT,PT17,2.242895299145299,2.242895299145299,2.242895299145299,2,195.0,1.9574358974358974
PT,PT18,2.242895299145299,2.242895299145299,2.242895299145299,2,195.0,1.9574358974358974
RO,RO11,4.972259318048207,3.138208333333333,7.524000000000001,9,31.666666666666668,4.359929453262787
RO,RO12,5.68975291005291,4.424095238095238,7.524000000000001,9,43.888888888888886,4.930730158730159
RO,RO21,6.040778850676073,4.1617976190476185,7.524000000000001,9,28.333333333333332,5.296818342151676
RO,RO22,5.946824074074074,3.7967416666666667,8.053833333333333,9,25.0,5.238222222222222
RO,RO31,5.63170171957672,4.4165,7.524000000000001,9,58.333333333333336,5.014920634920635
